country,gdppercapita,counntry_edit,gdppercapita_edit
Liechtenstein?,180227,Liechtenstein,180227
Monaco?,173696,Monaco,173696
Luxembourg?,117182,Luxembourg,117182
Bermuda?,123945,Bermuda,123945
Ireland?,86251,Ireland,86251
Norway?,66871,Norway,66871
Switzerland?,86919,Switzerland,86919
Cayman Islands?,95191,Cayman Islands,95191
Qatar?,50815,Qatar,50815
Singapore?,58114,Singapore,58114
United States?,63123,United States,63123
Iceland?,63644,Iceland,63644
Australia?,55823,Australia,55823
Denmark?,61477,Denmark,61477
Canada?,43560,Canada,43560
Sweden?,53575,Sweden,53575
Netherlands?,53334,Netherlands,53334
Israel?,47034,Israel,47034
Greenland?,55139,Greenland,55139
Austria?,48106,Austria,48106
Finland?,48685,Finland,48685
Belgium?,45028,Belgium,45028
Hong Kong?,46611,Hong Kong,46611
British Virgin Islands?,49357,British Virgin Islands,49357
Germany?,45909,Germany,45909
United Arab Emirates?,36285,United Arab Emirates,36285
San Marino?,45832,San Marino,45832
United Kingdom?,40718,United Kingdom,40718
New Zealand?,43972,New Zealand,43972
Brunei?,27437,Brunei,27437
France?,38959,France,38959
Andorra?,37072,Andorra,37072
Puerto Rico?,36052,Puerto Rico,36052
Kuwait?,24809,Kuwait,24809
European Union?*[n 1,35485,European Union?*[n ,35485
Taiwan?,28383,Taiwan,28383
New Caledonia?,34006,New Caledonia,34006
Japan?,39990,Japan,39990
Italy?,31238,Italy,31238
Macau?,37474,Macau,37474
South Korea?,31947,South Korea,31947
Malta?,33771,Malta,33771
Bahamas?,25194,Bahamas,25194
Aruba?,23386,Aruba,23386
Cyprus?,28133,Cyprus,28133
Slovenia?,25777,Slovenia,25777
Estonia?,23106,Estonia,23106
Spain?,27409,Spain,27409
Bahrain?,19925,Bahrain,19925
Czech Republic?,22911,Czech Republic,22911
Saudi Arabia?,20110,Saudi Arabia,20110
Portugal?,22413,Portugal,22413
Turks and Caicos Islands?,23881,Turks and Caicos Islands,23881
Lithuania?,20772,Lithuania,20772
Oman?,12409,Oman,12409
Iran?,11183,Iran,11183
Latvia?,17871,Latvia,17871
Greece?,18117,Greece,18117
Trinidad and Tobago?,15286,Trinidad and Tobago,15286
Slovakia?,19264,Slovakia,19264
Seychelles?,10767,Seychelles,10767
French Polynesia?,20707,French Polynesia,20707
Uruguay?,15438,Uruguay,15438
Barbados?,15449,Barbados,15449
Sint Maarten (Dutch part)?,20000,Sint Maarten (Dutch part),20000
Saint Kitts and Nevis?,17434,Saint Kitts and Nevis,17434
Poland?,15764,Poland,15764
Hungary?,16129,Hungary,16129
Guyana?,6956,Guyana,6956
Croatia?,13934,Croatia,13934
Anguilla?,17226,Anguilla,17226
Antigua and Barbuda?,13993,Antigua and Barbuda,13993
Panama?,12269,Panama,12269
Cook Islands?,16135,Cook Islands,16135
Curaçao?,15819,Curaçao,15819
Romania?,12929,Romania,12929
Chile?,13232,Chile,13232
Maldives?,6924,Maldives,6924
Russia?,10166,Russia,10166
Argentina?,8476,Argentina,8476
Montserrat?,13523,Montserrat,13523
Worl,10949,Wor,10949
Malaysia?,10402,Malaysia,10402
Costa Rica?,12077,Costa Rica,12077
China?,10229,China,10229
Palau?,14567,Palau,14567
Bulgaria?,10058,Bulgaria,10058
Turkmenistan?,7104,Turkmenistan,7104
Kazakhstan?,9111,Kazakhstan,9111
Equatorial Guinea?,7143,Equatorial Guinea,7143
Mexico?,8326,Mexico,8326
Saint Lucia?,8805,Saint Lucia,8805
Dominican Republic?,7268,Dominican Republic,7268
Grenada?,9273,Grenada,9273
Gabon?,6789,Gabon,6789
Nauru?,12510,Nauru,12510
Turkey?,8538,Turkey,8538
Montenegro?,7626,Montenegro,7626
Cuba?,9478,Cuba,9478
Serbia?,7656,Serbia,7656
Mauritius?,8587,Mauritius,8587
Brazil?,6797,Brazil,6797
Belarus?,6377,Belarus,6377
Saint Vincent and the Grenadines?,7298,Saint Vincent and the Grenadines,7298
Dominica?,7038,Dominica,7038
Thailand?,7189,Thailand,7189
Botswana?,6711,Botswana,6711
Peru?,6163,Peru,6163
Azerbaijan?,4202,Azerbaijan,4202
Bosnia and Herzegovina?,6035,Bosnia and Herzegovina,6035
North Macedonia?,5886,North Macedonia,5886
Georgia?,3984,Georgia,3984
South Africa?,5094,South Africa,5094
Iraq?,4146,Iraq,4146
Colombia?,5333,Colombia,5333
Ecuador?,5600,Ecuador,5600
Albania?,5181,Albania,5181
Belize?,3988,Belize,3988
Libya?,4243,Libya,4243
Armenia?,4266,Armenia,4266
Tuvalu?,4648,Tuvalu,4648
Jamaica?,4665,Jamaica,4665
Paraguay?,4950,Paraguay,4950
Moldova?,2954,Moldova,2954
Fiji?,5013,Fiji,5013
Kosovo?,4368,Kosovo,4368
Tonga?,4646,Tonga,4646
El Salvador?,3799,El Salvador,3799
Guatemala?,4332,Guatemala,4332
Suriname?,7023,Suriname,7023
Ukraine?,3557,Ukraine,3557
Marshall Islands?,4130,Marshall Islands,4130
Namibia?,4215,Namibia,4215
Indonesia?,3870,Indonesia,3870
Jordan?,4283,Jordan,4283
Mongolia?,4007,Mongolia,4007
Egypt?,3609,Egypt,3609
Vietnam?,2786,Vietnam,2786
Algeria?,3368,Algeria,3368
Samoa?,3890,Samoa,3890
Micronesia?,3500,Micronesia,3500
Eswatini?,3306,Eswatini,3306
Morocco?,3108,Morocco,3108
Tunisia?,3318,Tunisia,3318
Angola?,1896,Angola,1896
Djibouti?,3465,Djibouti,3465
Bolivia?,3133,Bolivia,3133
Cape Verde?,3064,Cape Verde,3064
Philippines?,3299,Philippines,3299
Bhutan?,3218,Bhutan,3218
Palestine?,3050,Palestine,3050
Papua New Guinea?,2640,Papua New Guinea,2640
Sri Lanka?,3768,Sri Lanka,3768
Venezuela?,3740,Venezuela,3740
Vanuatu?,2783,Vanuatu,2783
Honduras?,2406,Honduras,2406
Congo?,1830,Congo,1830
Bangladesh?,2001,Bangladesh,2001
Lebanon?,9310,Lebanon,9310
India?,1931,India,1931
Zimbabwe?,1466,Zimbabwe,1466
Ivory Coast?,2318,Ivory Coast,2318
Nicaragua?,1905,Nicaragua,1905
Ghana?,2206,Ghana,2206
Mauritania?,1702,Mauritania,1702
Nigeria?,2085,Nigeria,2085
Kenya?,1879,Kenya,1879
Uzbekistan?,1724,Uzbekistan,1724
Solomon Islands?,2251,Solomon Islands,2251
São Tomé and Príncipe?,2174,São Tomé and Príncipe,2174
Laos?,2623,Laos,2623
East Timor?,1443,East Timor,1443
Cambodia?,1513,Cambodia,1513
Kiribati?,1515,Kiribati,1515
Haiti?,1360,Haiti,1360
Pakistan?,1167,Pakistan,1167
Cameroon?,1502,Cameroon,1502
Senegal?,1458,Senegal,1458
Kyrgyzstan?,1186,Kyrgyzstan,1186
Benin?,1254,Benin,1254
Zambia?,985,Zambia,985
Guinea?,1179,Guinea,1179
Comoros?,1421,Comoros,1421
Nepal?,1135,Nepal,1135
Tanzania?,1115,Tanzania,1115
Lesotho?,1061,Lesotho,1061
Uganda?,846,Uganda,846
Myanmar?,1292,Myanmar,1292
Ethiopia?,840,Ethiopia,840
Zanziba,1031,Zanzib,1031
Tajikistan?,838,Tajikistan,838
Togo?,863,Togo,863
Sudan?,1415,Sudan,1415
Rwanda?,798,Rwanda,798
Syria?,890,Syria,890
Yemen?,937,Yemen,937
Mali?,856,Mali,856
Guinea-Bissau?,668,Guinea-Bissau,668
Gambia?,757,Gambia,757
Burkina Faso?,831,Burkina Faso,831
Chad?,679,Chad,679
Liberia?,491,Liberia,491
DR Congo?,506,DR Congo,506
Eritrea?,588,Eritrea,588
North Korea?,618,North Korea,618
Afghanistan?,508,Afghanistan,508
Niger?,568,Niger,568
Mozambique?,449,Mozambique,449
Somalia?,118,Somalia,118
Malawi?,615,Malawi,615
Madagascar?,470,Madagascar,470
Central African Republic?,481,Central African Republic,481
Sierra Leone?,475,Sierra Leone,475
South Sudan?,1421,South Sudan,1421
Burundi?,286,Burundi,286
